id,date,department,severity,incident_text
1,2023-04-05,内科病棟,軽微,透析患者の体重測定で 0.5 kg の誤差があり再測定した
2,2023-04-12,内科病棟,軽微,配薬時にアスピリン 100 mg を 1 錠多く準備したが投与前に発見
3,2023-05-03,外科病棟,中等,手術後のドレーン抜去時期が指示と 1 日ずれた
4,2023-05-18,ICU,重大,人工呼吸器の設定変更が申し送りで漏れた
5,2023-06-02,内科病棟,軽微,血糖測定器の校正期限切れに気づかず測定した
6,2023-06-20,外科病棟,軽微,糖尿病患者の食事指示変更が看護記録に反映されていなかった
7,2023-07-01,透析室,軽微,HD 開始時のシャント肢取り違えに気づき是正
8,2023-07-15,透析室,中等,透析中の血圧低下に対応が遅れ 15 分後に対処
9,2023-08-05,内科病棟,軽微,心不全患者の水分制限指示が口頭のみで書面化されていなかった
10,2023-08-22,ICU,中等,敗血症疑いで抗菌薬投与開始時刻が 30 分遅れた
11,2023-09-10,外科病棟,軽微,術後せん妄患者の離床時に付き添いが不足した
12,2023-09-25,内科病棟,軽微,高血圧の薬剤変更後に血圧測定頻度を上げる指示が伝わっていなかった
13,2023-10-05,透析室,軽微,透析終了後の止血確認が不十分でテープを追加
14,2023-10-18,内科病棟,中等,糖尿病患者のインスリン単位を読み違え確認後に是正
15,2023-11-03,ICU,軽微,心房細動患者のワーファリン量が腎機能低下後も調整されていなかった
16,2023-11-20,救急外来,軽微,患者取り違えが受付で発生したが本人確認で是正
17,2023-12-08,外科病棟,軽微,手術室申し送り時に患者の既往歴が十分伝達されなかった
18,2023-12-25,内科病棟,軽微,COPD 患者の酸素流量設定が申し送りと異なっていた
19,2024-01-10,透析室,中等,HD 中の凝固異常で回路交換を実施
20,2024-01-25,ICU,重大,薬剤投与ポンプの流量設定ミスで一時高血糖になった
21,2024-02-05,内科病棟,軽微,心筋梗塞既往患者にNSAIDs の頓用指示が誤って出された
22,2024-02-20,外科病棟,軽微,術後患者の疼痛評価が時間通りに記録されていなかった
23,2024-03-05,透析室,軽微,腹膜透析液の加温が不足し患者が冷感を訴えた
24,2024-03-18,救急外来,中等,脳梗塞疑いの患者の画像検査オーダーが遅延
25,2024-04-02,内科病棟,軽微,肺炎患者の体温測定間隔が指示と違っていた
26,2024-04-20,ICU,軽微,人工呼吸器の加湿器の水位確認が抜けていた
27,2024-05-08,外科病棟,中等,感染症患者の個室隔離開始が 2 時間遅れた
28,2024-05-22,透析室,軽微,HD 患者の体重増加量計算を取り違えた
29,2024-06-03,内科病棟,軽微,糖尿病と高血圧合併患者の食塩制限食の指示漏れ
30,2024-06-18,ICU,中等,心不全悪化患者への利尿薬投与のタイミングが遅れた
31,2024-07-01,外科病棟,軽微,手術前の絶飲食指示の伝達不足があった
32,2024-07-15,透析室,軽微,シャント部の感染症状発見が遅れ処置を追加
33,2024-08-04,救急外来,軽微,急性心筋梗塞疑い患者のトロポニン検査結果確認が遅延
34,2024-08-20,内科病棟,中等,寛解期の糖尿病患者にインスリン自己注射指導を怠った
35,2024-09-05,ICU,重大,急性腎不全の患者で血液透析開始判断が遅れ悪化
36,2024-09-22,透析室,軽微,透析前の体重測定時のスケール設定誤りが発覚
37,2024-10-08,内科病棟,軽微,高齢者の転倒予防対策が手薄だった時間帯で転倒発生
38,2024-10-25,外科病棟,軽微,術後せん妄患者の身体拘束解除のタイミングで付添不足
39,2024-11-10,ICU,中等,敗血症疑い患者の血液培養採取が指示から 1 時間遅れた
40,2024-11-28,救急外来,軽微,脳血管障害既往患者の抗血栓薬休薬期間の把握不足
41,2024-12-12,内科病棟,軽微,心不全増悪患者の in-out バランスの記録漏れ
42,2025-01-05,透析室,中等,HD 中のバスキュラーアクセストラブルで時間延長
43,2025-01-22,外科病棟,軽微,術後創部感染症の発見が通常巡回時間外だった
44,2025-02-08,ICU,重大,人工呼吸器の回路外れアラームへの対応が 2 分遅れた
45,2025-02-25,内科病棟,軽微,COPD 急性増悪患者のネブライザー指示が医師と看護師で齟齬
46,2025-03-10,透析室,軽微,HD 終了後の止血不良で再穿刺部の圧迫延長
47,2025-03-28,救急外来,中等,心肺停止患者への蘇生時の薬剤準備が想定より遅れた
48,2025-04-05,外科病棟,軽微,術後疼痛管理の持続点滴フィルター交換漏れ
49,2025-04-20,内科病棟,軽微,糖尿病患者の食事前血糖測定の記録方式変更の周知不足
50,2025-05-08,ICU,中等,心房細動患者の電気的除細動後の経過観察が不十分
51,2024-10-16,CCU,軽微,手術室申し送り時に患者アレルギー情報が口頭のみだった
52,2023-09-08,小児科,軽微,散剤秤量時の計量誤差が再計量で是正された
53,2024-11-23,皮膚科,中等,与薬時の 6R 確認のうち指示書の再確認が一部省略された
54,2024-08-27,検査部,軽微,与薬時の 6R 確認のうち指示書の再確認が一部省略された
55,2023-08-12,小児科,軽微,夜勤帯に 術前患者の点滴更新が遅れ翌朝に気づいた
56,2023-07-23,眼科,軽微,除細動器のアラームへの初動が 1 分遅れた
57,2024-04-04,呼吸器内科,軽微,心不全患者の in-out バランス記録が 4 時間抜けた
58,2023-01-07,麻酔科,中等,同姓患者が 2 名入院しており取り違えリスクがあったため ID バンド再確認を徹底
59,2024-03-08,精神科病棟,軽微,褥瘡処置の体位変換記録が 1 勤務帯抜けた
60,2025-09-07,麻酔科,軽微,与薬時の 6R 確認のうち指示書の再確認が一部省略された
61,2024-01-25,CCU,軽微,MRI 検査前の金属チェックで持参品確認が直前となった
62,2024-09-10,整形外科,中等,医師の指示が電子カルテに反映されるのが翌日となった
63,2024-04-15,循環器内科,軽微,経管栄養施行中の頭位挙上が一時的に不十分だった
64,2024-01-23,ICU,軽微,ヘパリンロックの濃度計算を確認後に是正
65,2024-10-05,血液内科,中等,検査オーダーの入力ミスで項目が 1 つ抜けていた
66,2024-08-14,産婦人科,中等,HD 患者への配薬時に同室患者の薬袋を一時的に持参しそうになった
67,2023-08-22,麻酔科,軽微,オピオイドの向精神薬管理簿記入が時刻抜けで後から追記
68,2025-05-25,小児科,中等,超音波検査室への患者移送が予約時刻に 18 分遅れた
69,2024-04-09,腫瘍内科,中等,ガーゼ交換時の無菌操作の手順に一部逸脱があった
70,2024-01-15,手術室,軽微,麻酔導入時の薬剤準備で 2 アンプル多く準備された
71,2024-12-19,耳鼻咽喉科,軽微,血圧計のカフサイズが患者サイズに合わず再測定
72,2024-10-12,救急外来,軽微,手術器械のカウント確認で 1 度数え直しが発生
73,2023-06-17,薬剤部,軽微,経管栄養施行中の頭位挙上が一時的に不十分だった
74,2024-10-17,眼科,軽微,看護記録の入力が勤務時間内に完了しなかった
75,2023-11-29,麻酔科,中等,手術室入室前の患者識別バンド確認で一部手順が省略された
76,2025-04-21,外科病棟,中等,認知症患者が病室のトイレで転倒したが外傷なし
77,2023-08-05,呼吸器内科,中等,血液培養のボトル数が指示と異なり追加採取した
78,2023-08-06,腫瘍内科,軽微,透析中の血圧低下に対する対応が 15 分遅れた
79,2024-04-14,透析室,軽微,手術器械のカウント確認で 1 度数え直しが発生
80,2025-02-01,循環器内科,軽微,退院時処方の薬剤本数が処方箋と相違し薬剤師が修正
81,2024-08-21,検査部,中等,新生児が病室入口で転倒したが外傷なし
82,2023-05-22,内視鏡室,軽微,院外処方箋発行時に屯用薬の指示回数が抜けていた
83,2023-02-18,CCU,軽微,ガーゼ交換時の無菌操作の手順に一部逸脱があった
84,2025-03-22,耳鼻咽喉科,軽微,経口薬の粉砕可否確認が与薬直前まで行われていなかった
85,2024-01-30,放射線科,軽微,トイレ歩行時のナースコール押下が間に合わず転倒リスク発生
86,2024-06-25,整形外科,重大,病棟間の患者移送時にベッド IV ライン固定が不十分だった
87,2025-08-23,内科病棟,中等,エリスロポエチン の希釈濃度確認が口頭のみで行われた
88,2025-02-07,整形外科,中等,採血管の順番を誤ったが検査結果に影響なし
89,2023-04-25,脳神経外科,軽微,点滴スタンドの車輪固定が不十分で転倒リスクとなった
90,2023-01-04,皮膚科,中等,術中出血量の記録が集計時点で相違したため再確認
91,2025-09-22,内視鏡室,中等,感染性廃棄物の分別が一部で不適切だった
92,2025-07-23,CCU,中等,手術患者の当日検査結果が術直前に判明
93,2025-05-11,腫瘍内科,軽微,人工呼吸器の加温加湿器の水位確認が 5 時間以上抜けた
94,2024-01-18,麻酔科,軽微,夜間のラウンド予定時刻が 30 分遅れた
95,2025-03-08,内視鏡室,重大,血糖測定器の校正期限切れに気づかず測定した
96,2023-11-28,リハビリ室,軽微,経管栄養施行中の頭位挙上が一時的に不十分だった
97,2024-01-07,泌尿器科,軽微,点滴残量の確認が時間通り行われず予定より 25 分超過した
98,2025-06-18,呼吸器内科,重大,オピオイドの向精神薬管理簿記入が時刻抜けで後から追記
99,2025-01-19,リハビリ室,中等,病棟内の救急カート内の物品定数チェックで 1 項目不足
100,2024-06-29,麻酔科,軽微,アレルギー食品表記のダブルチェックが抜けた
101,2024-05-01,循環器内科,軽微,MRSA 保菌患者の情報共有が転棟時に遅れた
102,2025-06-12,血液内科,軽微,褥瘡処置の体位変換記録が 1 勤務帯抜けた
103,2025-08-09,循環器内科,中等,医師指示の口頭受けで復唱確認が一部省略された
104,2023-07-25,眼科,軽微,輸血後副作用モニタリングの記録が 30 分後に集約
